행선지,가격,행선지,가격,행선지,가격
부산,4500,영덕,8300,장소,4400
대구,4200,도곡,9600,근덕,22600
울산,4900,병원,9800,삼척,23600
포항,3100,영해,10000,동해,25200
나루끝,3600,병곡,10800,강릉,28600
청하,5600,후포,11900,주문진,30500
송라,5900,평해,12400,인구,31900
장사,6600,월송,12700,하조대,32700
강구,7500,기성,13400,손양,33700
