STOP_ID,STOP_NAME,STOP_TYPE,STOP_CENTER,STOP_ADMIN,STOP_REMARK,STOP_SHORTNAME,STOP_OLDID,STOP_SERVICEID,STOP_X,STOP_Y,STOP_ANGLE,STOP_IN_DISTANCE,STOP_OUT_DISTANCE,LINK_ID,STOP_LINK_X,STOP_LINK_Y,STOP_LINK_SEQNO,STOP_LINK_LENGTH,STOP_REVISIONNO,DR_CODE,STOP_INFO,STOP_ENAME,STOP_LINE_NUM
193040422,농수산물도매시장앞,1,0,울산광역시,공업탑R 방면,농수산물도매시장앞,0,40422,231014.983,227069.4484,270,70,30,1930125100,231014.98,227057.9,1,40.3,916,3114057000,0,Agriculture  Fisheries Market,17
193040423,이마트앞,1,0,울산광역시,태화강역 방면,이마트앞,0,40423,231501.138,227027.2001,90,70,30,1930123100,231501.34,227040.22,1,137.5,916,3114057000,0,Emart,2
193040425,이마트앞,1,0,울산광역시,태화강역 방면,이마트앞,0,40425,231582.0374,227025.6998,84,70,30,1930122500,231582.47,227037.92,1,53.9,916,3114057000,0,Emart,17
193040428,이마트앞,1,0,울산광역시,공업탑R 방면,이마트앞,0,40428,231657.779,227064.6,280,70,30,1930122200,231662.779,227047.12,1,100.3,916,3114057000,0,Emart,1
193040522,세이브존,1,0,울산광역시,중구보건소 방면,세이브존,0,40522,229370.6811,227925.2165,330,70,30,1930178901,229359.22,227921.57,1,176.3,916,3114057000,0,Save zone,12
193040523,KBS방송국앞,1,0,울산광역시,야음사거리 방면,KBS방송국앞,0,40523,229472.426,227479.4289,165,70,30,1930164600,229485.77,227484.26,1,168.5,916,3114055000,0,KBS,18
193040524,KBS방송국앞,1,0,울산광역시,중구보건소 방면,KBS방송국앞,0,40524,229486.4166,227569.7267,340,70,30,1930164500,229477.86,227566.8,1,133.7,916,3114057000,0,KBS,12
193040526,문화예술회관앞,1,0,울산광역시,중구보건소 방면,문화예술회관앞,0,40526,229570.1866,227340.7517,340,70,30,1930147100,229558.84,227336.63,1,105.6,916,3114057000,0,Culture  Arts Center,5
193040527,한국산업인력공단,1,0,울산광역시,야음사거리 방면,한국산업인력공단,0,40527,229620.0032,227059.6464,165,70,30,1930125600,229632.94,227064.22,1,180,916,3114056000,0,Beonyeong Sageori,7
193040528,한국산업인력공단,1,0,울산광역시,중구보건소 방면,한국산업인력공단,0,40528,229700.1766,226975.0398,340,70,30,1930114900,229688.97,226970.71,1,66.4,916,3114057000,0,Beonyeong Sageori,2
193040529,달동주공앞,1,0,울산광역시,야음사거리 방면,달동주공앞,0,40529,229784.5571,226583.6529,145,70,30,1930092800,229798.79,226588.67,1,75.2,916,3114056000,0,Daldong Jugong,8
193040530,달동주공앞,1,0,울산광역시,중구보건소 방면,달동주공앞,0,40530,229887.5096,226422.4076,330,70,30,1930092700,229833.82,226549.42,1,43.8,916,3114057000,0,Daldong Jugong,15
193040531,롯데인벤스앞,1,0,울산광역시,야음사거리 방면,롯데인벤스앞,0,40531,229955.3392,225930.6045,190,70,30,1930054601,229965.74,225930.58,1,68.7,916,3114062000,0,Lotte Invens,11
193040532,롯데인벤스앞,1,0,울산광역시,중구보건소 방면,롯데인벤스앞,0,40532,230005.8322,226017.2116,10,70,30,1930054502,229988.89,226016.59,1,36.3,916,3114062000,0,Lotte Invens,9
193040533,국민요양병원,1,0,울산광역시,야음사거리 방면,국민요양병원,0,40533,229950.4887,225616.7028,190,70,30,1930050802,229965.29,225616.82,1,132.9,921,3114062000,0,Bora Apt.,10
193040534,국민요양병원,1,0,울산광역시,중구보건소 방면,국민요양병원,0,40534,229996.8736,225635.8366,10,70,30,1930050702,229987.28,225635.85,1,209.6,921,3114062000,0,Bora Apt.,2
193040535,도산사거리,1,0,울산광역시,야음사거리 방면,도산사거리,,40535,229915.15,226210.9267,161,70,30,1930062602,229927.7151,226217.0409,1,123.1,962,0,2,dosan intersection,20
193040601,공원묘지입구,1,0,울산광역시,공업탑R 방면,공원묘지입구,0,40601,225309.3965,226725.2007,110,70,30,1930104600,225313.6,226733.8,1,130.7,916,3114060000,0,Cemetery Park Entrance,15
193040602,공원묘지입구,1,0,울산광역시,,공원묘지입구,0,40602,225260.1327,226830.0213,310,70,30,1930104800,225256.73,226821.29,1,228.8,916,3114060000,0,Cemetery Park Entrance,14
193040603,옥동중학교앞,1,0,울산광역시,,옥동중학교앞,0,40603,225896.2736,226597.4956,290,70,30,1930093601,225894.16,226586.53,1,214.1,916,3114060000,0,Okdong M. S.,3
193040604,옥동중학교앞,1,0,울산광역시,공업탑R 방면,옥동중학교앞,0,40604,225684.3531,226602.5666,100,70,30,1930099900,225686.52,226613.74,1,261.8,916,3114060000,0,Okdong M. S.,12
193040605,법원앞,1,0,울산광역시,공업탑R 방면,법원앞,0,40605,226211.4982,226504.7474,110,70,30,1930091900,226213.28,226514.13,1,114.6,916,3114060000,0,Ulsan Court,11
193040606,법원,1,0,울산광역시,무거삼거리 방면,법원,0,40606,226204.3297,226537.3538,285,70,30,1930092000,226202.63,226528.42,1,130.9,916,3114060000,0,Court,19
193040607,울주군청앞,1,0,울산광역시,공업탑R 방면,울주군청앞,0,40607,226861.8607,226376.2321,100,70,30,1930081300,226864.21,226388.39,1,120.4,916,3114060000,0,Uljugun Office,20
