MYBI_STOPID,MYBI_NAME,STOP_ID,STOP_X,STOP_Y,STOP_X2,STOP_Y2
3101905,작천정입구,196030107,210558.929,228166.704,129.11645,35.55041
3101906,메가마트,196030109,210444.30735,227886.23214,129.1151833,35.54788333
3101907,벌장마을,196030113,210364.42808,227701.2218,129.1143,35.54621667
3101908,마산입구,196030117,209964.71227,227001.77739,129.1098833,35.53991667
3101909,삼남면사무소,196030121,209824.48047,226702.05535,129.1083333,35.53721667
3101910,대원아파트,196030123,209497.06353,226170.98714,129.1047167,35.53243333
3101911,공암,196030125,209296.25324,225950.72462,129.1025,35.53045
3101912,언양정비,196030127,209115.17953,225639.8769,129.1005,35.52765
3101913,신안입구,196030129,209027.73104,225412.33983,129.0995333,35.5256
3101914,가천,196030131,208689.41657,225105.04169,129.0958,35.52283333
3101915,지내마을,196030133,208692.87907,224650.14884,129.0958333,35.51873333
3101916,삼성SDI,196030135,208661.81858,223940.03743,129.0954833,35.51233333
3101917,방기초등학교,196030137,208359.98746,223349.86648,129.09215,35.50701667
3101918,하방기,196030140,208125.78432,223175.82872,129.0895667,35.50545
3101919,세광병원앞,196027502,208046.13137,222628.40405,129.0886833,35.50051667
3101921,세광병원앞,196023608,208043.24301,222480.46753,129.08865,35.49918333
3101922,하방기,196030139,208112.6866,223144.3069,129.08942,35.50517
3101923,방기초등학교,196030138,208376.62364,223342.48499,129.0923333,35.50695
3101924,삼성SDI,196030136,208692.05237,223951.16176,129.0958167,35.51243333
3101925,지내마을,196030134,208704.96697,224663.10516,129.0959667,35.51885
3101926,가천,196030132,208701.51098,225101.35548,129.0959333,35.5228
3101927,신안입구,196030130,209020.19993,225388.29261,129.09945,35.52538333
3101928,언양정비,196030128,209134.8433,225630.65146,129.1007167,35.52756667
3101929,공암,196030126,209344.61325,225958.17209,129.1030333,35.53051667
3101930,대원아파트,196030124,209512.17494,226169.15477,129.1048833,35.53241667
3101931,삼남면사무소,196030122,209836.5843,226696.52113,129.1084667,35.53716667
3101932,마산입구,196030120,209972.29187,226986.99167,129.1099667,35.53978333
3101933,벌장마을,196030114,210393.16069,227688.31053,129.1146167,35.5461
3101934,메가마트,196030110,210482.0897,227888.12593,129.1156,35.5479
3101935,작천정입구,196030108,210586.04236,228161.92772,129.11675,35.55036667
3101940,석불사,196015411,213868.97224,224873.02961,129.1529,35.52068333
3101941,삼동면자치센터,196024424,214175.80883,224904.94734,129.1562833,35.52096667
3101942,왕방,196024420,214119.52338,224170.7355,129.15565,35.51435
3101943,금곡,196024418,213552.97663,223898.03094,129.1494,35.5119
3101944,보은,196024416,213000.01403,223617.98519,129.1433,35.50938333
3101945,내외양,196024414,212487.87784,223312.14273,129.13765,35.50663333
3101946,삼동면민운동장,196024412,211889.594,222948.89153,129.13105,35.50336667
3101947,지랑,196024410,211268.79815,222411.82918,129.1242,35.49853333
3101948,조일입구,196024408,210402.06039,222630.83165,129.11465,35.50051667
3101949,조일,196024406,210223.86468,222419.82142,129.1126833,35.49861667
3101950,암리,196024404,209445.04451,222465.19426,129.1041,35.49903333
3101951,현대자동차출고장앞,196002264,208666.49022,222244.35648,129.0955167,35.49705
3101952,통도사,388000261,207924.54756,221611.25526,129.0873333,35.49135
3101953,현대자동차출고장앞,196002265,208660.44729,222235.10518,129.09545,35.49696667
3101954,암리,196024403,209445.06987,222441.15588,129.1041,35.49881667
3101955,조일,196024405,210266.17915,222445.7578,129.11315,35.49885
3101956,조일입구,196024407,210393.0283,222595.68663,129.11455,35.5002
3101957,지랑,196024409,211181.13226,222376.58584,129.1232333,35.49821667
3101958,성도수련원,196024411,211960.62731,222973.02462,129.1318333,35.50358333
3101959,내외양,196024413,212499.98658,223301.06461,129.1377833,35.50653333
3101960,보은,196024415,213013.64069,223605.06153,129.14345,35.50926667
3101961,금곡,196024417,213569.62452,223885.11159,129.1495833,35.51178333
3101962,왕방,196024419,214143.71079,224174.47168,129.1559167,35.51438333
3101963,삼동면자치센터,0,214212.14408,224871.71983,129.1566833,35.52066667
3101964,석불사,196015412,213855.34912,224884.10355,129.15275,35.52078333
3101968,두광중학교,196030314,215283.90374,239914.8616,129.1687833,35.65623333
3101969,전읍,196030312,215631.28743,240625.56542,129.1726333,35.66263333
3101975,미호,196015271,216024.39079,241894.83253,129.177,35.67406667
3101976,미호,0,216031.94222,241889.29847,129.1770833,35.67401667
3101977,두서농공단지,196030307,215775.13524,241204.62613,129.1742333,35.66785
3101978,유촌입구,196030309,215724.39064,240890.16887,129.1736667,35.66501667
3101979,전읍,196030311,215628.22352,240653.29835,129.1726,35.66288333
3101980,두광중학교,196030313,215289.8833,239950.0074,129.16885,35.65655
3101981,두동입구,196015293,215018.99767,239490.9405,129.16585,35.65241667
3101982,신복,196015407,210373.57373,226329.14148,129.1143833,35.53385
3101983,신복회관,196015409,210593.01266,226105.64804,129.1168,35.53183333
3101984,신복회관,196015410,210600.55428,226116.75204,129.1168833,35.53193333
3101985,신복,196015408,210376.5878,226342.08959,129.1144167,35.53396667
3101986,병영2동주민센터,192024902,231399.9487,231241.69361,129.3464167,35.57768333
3101987,반천현대아파트,196030435,217206.31541,229139.349,129.1897833,35.55908333
3101989,천전회관,196015346,209139.06271,230371.95435,129.1008167,35.5703
3101990,용전사,196015344,208855.9734,230935.67097,129.0977,35.57538333
3101991,지화,196015342,208343.38382,231414.11747,129.09205,35.5797
